ImageId,Label
1,5
2,0
3,2
4,2
5,8
6,3
7,2
8,8
9,5
10,2
11,2
12,8
13,5
14,4
15,4
16,8
17,0
18,5
19,9
20,5
21,9
22,9
23,2
24,8
25,8
26,2
27,6
28,8
29,2
30,6
31,8
32,3
33,3
34,8
35,3
36,9
37,6
38,0
39,3
40,2
41,2
42,8
43,6
44,3
45,9
46,7
47,8
48,9
49,8
50,9
51,4
52,7
53,3
54,2
55,6
56,4
57,5
58,2
59,3
60,2
61,2
62,8
63,7
64,0
65,4
66,8
67,3
68,7
69,2
70,9
71,8
72,3
73,0
74,2
75,3
76,8
77,3
78,9
79,3
80,8
81,8
82,8
83,3
84,2
85,0
86,8
87,5
88,2
89,0
90,8
91,2
92,4
93,6
94,5
95,2
96,5
97,8
98,4
99,3
100,3
101,8
102,8
103,8
104,2
105,2
106,4
107,4
108,3
109,4
110,3
111,5
112,4
113,8
114,9
115,3
116,8
117,8
118,2
119,3
120,8
121,8
122,0
123,0
124,3
125,3
126,8
127,8
128,2
129,8
130,3
131,8
132,3
133,5
134,6
135,0
136,8
137,2
138,9
139,2
140,5
141,5
142,4
143,5
144,9
145,2
146,6
147,3
148,2
149,4
150,8
151,5
152,8
153,8
154,5
155,8
156,5
157,7
158,3
159,8
160,5
161,8
162,2
163,4
164,0
165,3
166,6
167,9
168,9
169,8
170,4
171,4
172,8
173,9
174,3
175,3
176,3
177,7
178,9
179,3
180,0
181,5
182,4
183,2
184,3
185,6
186,9
187,7
188,3
189,8
190,2
191,3
192,9
193,5
194,5
195,3
196,4
197,2
198,7
199,7
200,8
201,3
202,2
203,8
204,3
205,8
206,9
207,7
208,5
209,4
210,3
211,3
212,9
213,8
214,8
215,3
216,7
217,3
218,6
219,8
220,3
221,7
222,2
223,3
224,5
225,9
226,8
227,2
228,5
229,3
230,4
231,3
232,1
233,2
234,3
235,6
236,8
237,3
238,9
239,8
240,8
241,6
242,8
243,7
244,2
245,3
246,2
247,4
248,9
249,3
250,9
251,5
252,3
253,3
254,0
255,2
256,4
257,5
258,3
259,2
260,2
261,7
262,5
263,6
264,5
265,0
266,2
267,8
268,2
269,2
270,8
271,4
272,2
273,2
274,8
275,8
276,8
277,9
278,3
279,2
280,2
281,4
282,8
283,3
284,8
285,3
286,8
287,9
288,1
289,2
290,8
291,3
292,1
293,4
294,2
295,8
296,8
297,8
298,8
299,5
300,8
301,9
302,8
303,4
304,3
305,3
306,0
307,2
308,8
309,8
310,2
311,5
312,7
313,8
314,4
315,7
316,2
317,5
318,4
319,3
320,8
321,1
322,5
323,1
324,9
325,5
326,3
327,2
328,9
329,3
330,9
331,6
332,3
333,8
334,4
335,2
336,4
337,4
338,8
339,3
340,2
341,7
342,6
343,3
344,0
345,0
346,0
347,4
348,2
349,0
350,5
351,5
352,7
353,4
354,5
355,8
356,3
357,8
358,3
359,5
360,9
361,9
362,4
363,2
364,2
365,8
366,4
367,2
368,4
369,3
370,6
371,3
372,3
373,9
374,4
375,8
376,5
377,9
378,2
379,3
380,2
381,5
382,3
383,6
384,0
385,2
386,8
387,9
388,3
389,2
390,3
391,3
392,3
393,4
394,6
395,4
396,9
397,8
398,1
399,2
400,5
401,9
402,9
403,8
404,9
405,3
406,9
407,5
408,0
409,3
410,0
411,2
412,8
413,5
414,8
415,9
416,3
417,3
418,9
419,4
420,2
421,3
422,7
423,2
424,3
425,3
426,9
427,5
428,7
429,8
430,6
431,6
432,0
433,3
434,7
435,2
436,3
437,9
438,5
439,3
440,2
441,5
442,3
443,8
